Gender,Height,Weight,BMI,Index
1,161,155,149.22360248447205,5
0,198,145,106.18686868686869,4
0,192,140,102.08333333333333,4
1,195,126,81.41538461538461,4
1,166,160,154.21686746987953,5
1,159,154,149.1572327044025,5
0,181,106,62.07734806629834,4
1,149,66,29.23489932885906,3
0,150,70,32.666666666666664,4
0,146,157,168.82876712328766,5
1,190,135,95.92105263157895,4
0,192,90,42.1875,2
0,177,96,52.067796610169495,4
1,148,60,24.324324324324323,3
0,165,57,19.69090909090909,2
0,146,104,74.08219178082192,5
1,144,108,81.0,5
0,176,156,138.27272727272728,5
0,168,87,45.05357142857143,4
1,187,122,79.59358288770053,4
1,187,138,101.83957219251337,4
0,184,160,139.1304347826087,5
0,158,149,140.5126582278481,5
1,158,96,58.32911392405063,4
1,194,115,68.1701030927835,4
0,145,79,43.04137931034483,4
1,182,151,125.28021978021978,5
1,154,54,18.935064935064936,2
0,168,139,115.00595238095238,5
0,187,70,26.203208556149733,2
0,158,153,148.15822784810126,5
0,167,110,72.45508982035928,4
0,171,155,140.49707602339183,5
0,183,150,122.95081967213115,5
0,190,156,128.0842105263158,5
1,194,108,60.123711340206185,3
1,171,147,126.36842105263158,5
1,159,124,96.70440251572327,5
0,169,54,17.254437869822485,2
0,167,85,43.26347305389221,4
1,180,149,123.33888888888889,5
1,163,123,92.8159509202454,5
1,140,79,44.57857142857143,5
1,197,125,79.31472081218274,4
1,194,106,57.91752577319588,3
0,140,146,152.25714285714287,5
1,195,98,49.251282051282054,3
0,168,115,78.7202380952381,3
0,196,50,12.755102040816327,0
1,140,52,19.314285714285713,3
0,150,60,24.0,3
0,168,140,116.66666666666667,5
0,155,111,79.49032258064516,5
0,179,103,59.26815642458101,4
0,182,84,38.76923076923077,3
1,168,160,152.38095238095238,5
0,187,102,55.63636363636363,3
1,181,105,60.91160220994475,4
1,199,99,49.25125628140704,2
0,184,76,31.391304347826086,2
1,192,101,53.130208333333336,3
0,182,143,112.35714285714286,5
0,172,111,71.63372093023256,4
1,181,78,33.613259668508285,2
1,176,109,67.50568181818181,4
0,156,106,72.02564102564102,5
0,151,67,29.728476821192054,3
0,188,80,34.04255319148936,2
1,187,136,98.9090909090909,4
1,174,138,109.44827586206897,5
1,167,151,136.53293413173654,5
0,196,131,87.5561224489796,4
1,197,149,112.69543147208122,4
0,185,119,76.54594594594595,4
0,170,102,61.2,4
0,181,94,48.81767955801105,3
0,166,126,95.63855421686748,5
1,188,100,53.191489361702125,3
0,162,74,33.80246913580247,3
1,177,117,77.33898305084746,4
1,162,97,58.08024691358025,4
1,180,73,29.605555555555554,2
0,192,108,60.75,3
1,165,80,38.78787878787879,3
0,167,135,109.13173652694611,5
0,182,84,38.76923076923077,3
0,161,134,111.527950310559,5
1,158,95,57.120253164556964,4
1,141,85,51.241134751773046,5
1,154,100,64.93506493506493,5
1,165,105,66.81818181818181,4
0,142,137,132.17605633802816,5
1,141,94,62.666666666666664,5
1,145,108,80.44137931034483,5
1,157,74,34.87898089171974,4
0,177,117,77.33898305084746,4
0,166,144,124.91566265060241,5
1,193,151,118.139896373057,5
1,184,57,17.657608695652176,1
1,179,93,48.31843575418994,3
0,156,89,50.77564102564103,4
1,182,104,59.42857142857143,4
1,145,160,176.55172413793105,5
0,150,87,50.46,4
1,145,99,67.59310344827587,5
0,196,122,75.93877551020408,4
1,191,96,48.25130890052356,3
0,148,67,30.33108108108108,4
0,150,84,47.04,4
1,148,155,162.3310810810811,5
0,153,146,139.3202614379085,5
0,196,159,128.98469387755102,5
0,185,52,14.616216216216216,0
0,171,131,100.35672514619883,5
0,143,118,97.37062937062937,5
0,142,86,52.08450704225352,5
0,141,126,112.59574468085107,5
1,159,109,74.72327044025157,5
0,173,82,38.86705202312139,2
1,183,138,104.06557377049181,5
0,152,90,53.28947368421053,4
1,178,140,110.11235955056179,5
1,188,54,15.51063829787234,0
0,155,144,133.78064516129032,5
1,166,70,29.518072289156628,3
1,188,123,80.47340425531915,4
0,171,120,84.21052631578948,5
1,179,130,94.41340782122904,5
0,186,137,100.90860215053763,4
0,153,78,39.76470588235294,2
0,184,86,40.19565217391305,3
0,177,81,37.067796610169495,3
1,145,78,41.95862068965517,4
1,170,81,38.59411764705882,3
1,181,141,109.83977900552486,5
1,165,155,145.6060606060606,5
0,174,65,24.2816091954023,2
0,146,110,82.87671232876713,5
1,178,85,40.58988764044944,3
1,166,61,22.41566265060241,2
1,191,62,20.12565445026178,1
0,177,155,135.73446327683615,5
0,183,50,13.66120218579235,0
1,151,114,86.06622516556291,5
1,182,98,52.76923076923077,3
0,142,159,178.03521126760563,5
0,188,90,43.08510638297872,3
1,161,89,49.19875776397515,4
1,153,70,32.02614379084967,3
1,140,143,146.06428571428572,5
1,169,141,117.63905325443787,5
0,162,159,156.05555555555554,5
1,183,147,118.08196721311475,5
0,162,58,20.765432098765434,2
0,172,109,69.07558139534883,4
0,150,119,94.40666666666667,5
0,169,145,124.40828402366864,5
0,184,132,94.69565217391305,4
1,159,104,68.0251572327044,5
1,163,131,105.28220858895706,5
1,156,137,120.31410256410257,5
0,157,52,17.222929936305732,2
1,147,84,48.0,4
1,141,86,52.45390070921986,5
1,173,139,111.6820809248555,5
1,154,145,136.52597402597402,5
1,168,148,130.38095238095238,5
1,168,50,14.880952380952381,1
1,145,130,116.55172413793103,5
1,152,103,69.79605263157895,5
0,187,121,78.29411764705883,4
0,163,57,19.932515337423315,0
1,178,83,38.70224719101124,3
0,187,94,47.25133689839572,3
0,179,114,72.60335195530726,4
1,190,80,33.68421052631579,2
1,172,75,32.70348837209303,3
1,188,57,17.28191489361702,1
1,193,65,21.89119170984456,1
0,147,126,108.0,5
0,147,94,60.10884353741496,5
1,166,107,68.96987951807229,4
0,192,139,100.63020833333333,4
1,181,139,106.74585635359117,4
1,150,74,36.50666666666667,4
1,178,160,143.82022471910113,5
0,156,52,17.333333333333332,2
1,149,100,67.11409395973155,5
1,156,74,35.1025641025641,4
1,183,105,60.24590163934426,3
0,162,68,28.54320987654321,3
0,165,83,41.75151515151515,4
0,168,143,121.7202380952381,5
1,160,156,152.1,5
0,169,88,45.82248520710059,2
0,140,76,41.25714285714286,4
0,187,92,45.2620320855615,3
1,151,82,44.52980132450331,4
0,186,140,105.3763440860215,5
1,182,108,64.08791208791209,4
1,188,81,34.898936170212764,2
1,179,110,67.59776536312849,4
0,156,126,101.76923076923077,5
1,188,114,69.12765957446808,4
1,183,153,127.91803278688525,5
1,144,88,53.77777777777778,5
1,196,69,24.290816326530614,1
1,171,141,116.26315789473684,5
1,171,147,126.36842105263158,5
0,180,156,135.2,5
1,191,146,111.6020942408377,5
0,179,67,25.078212290502794,2
0,180,60,20.0,2
0,154,132,113.14285714285714,5
1,188,99,52.13297872340426,3
1,142,135,128.3450704225352,5
1,170,95,53.088235294117645,4
1,152,141,130.79605263157896,5
0,190,118,73.28421052631579,4
0,181,111,68.07182320441989,4
1,153,104,70.69281045751634,5
1,187,140,104.81283422459893,5
0,144,66,30.25,4
0,148,54,19.7027027027027,2
0,199,92,42.53266331658291,2
0,167,85,43.26347305389221,4
0,164,71,30.73780487804878,3
0,185,102,56.23783783783784,3
0,164,160,156.09756097560975,5
1,142,71,35.5,4
1,165,68,28.024242424242424,2
0,172,62,22.348837209302324,2
0,157,56,19.97452229299363,2
1,155,57,20.961290322580645,2
0,167,153,140.17365269461078,5
0,164,126,96.8048780487805,5
0,189,125,82.67195767195767,4
0,161,145,130.59006211180125,5
0,155,71,32.52258064516129,3
0,171,118,81.42690058479532,4
0,154,92,54.96103896103896,4
1,179,83,38.486033519553075,3
1,170,115,77.79411764705883,4
0,184,106,61.06521739130435,4
0,191,68,24.209424083769633,2
1,162,58,20.765432098765434,2
1,178,138,106.98876404494382,5
0,157,60,22.929936305732483,2
1,184,83,37.44021739130435,2
1,197,88,39.30964467005076,2
0,160,51,16.25625,2
1,184,153,127.22282608695652,5
1,190,50,13.157894736842104,0
1,174,90,46.55172413793103,3
0,189,124,81.35449735449735,4
0,186,143,109.94086021505376,5
0,180,58,18.68888888888889,1
0,186,148,117.76344086021506,4
0,193,61,19.27979274611399,1
1,161,103,65.8944099378882,4
0,151,158,165.32450331125827,5
0,195,147,110.81538461538462,4
0,184,152,125.56521739130434,5
1,141,80,45.39007092198582,5
0,185,94,47.76216216216216,3
0,186,127,86.71505376344086,4
1,142,131,120.85211267605634,5
0,147,67,30.537414965986393,4
1,151,62,25.456953642384107,3
0,160,124,96.1,5
1,185,60,19.45945945945946,1
0,163,63,24.349693251533743,2
1,174,95,51.867816091954026,4
0,150,144,138.24,5
1,142,91,58.316901408450704,5
1,178,142,113.28089887640449,5
0,154,96,59.84415584415584,5
1,176,87,43.00568181818182,3
1,159,120,90.56603773584905,5
1,191,62,20.12565445026178,1
1,177,117,77.33898305084746,4
1,151,154,157.05960264900662,5
0,182,149,121.98351648351648,5
0,197,72,26.314720812182742,2
1,146,138,130.43835616438355,5
0,160,83,43.05625,4
0,157,66,27.745222929936304,3
0,150,50,16.666666666666668,2
0,167,58,20.143712574850298,2
0,180,70,27.22222222222222,2
0,183,76,31.562841530054644,2
0,183,87,41.36065573770492,3
0,152,154,156.02631578947367,5
0,164,71,30.73780487804878,3
1,187,96,49.283422459893046,3
1,169,136,109.44378698224853,5
0,149,61,24.973154362416107,3
1,163,137,115.14723926380368,5
0,195,104,55.46666666666667,3
1,174,107,65.79885057471265,4
1,182,70,26.923076923076923,2
1,169,110,71.59763313609467,4
1,193,130,87.56476683937824,4
1,148,141,134.3310810810811,5
1,186,68,24.86021505376344,2
1,165,143,123.93333333333334,5
0,146,123,103.62328767123287,5
0,166,133,106.56024096385542,5
1,179,56,17.519553072625698,1
0,177,101,57.632768361581924,4
1,181,154,131.02762430939225,5
0,161,154,147.30434782608697,5
0,157,103,67.5732484076433,5
0,169,98,56.828402366863905,4
0,152,114,85.5,5
0,162,64,25.28395061728395,2
1,162,130,104.32098765432099,5
0,177,61,21.0225988700565,2
0,195,61,19.08205128205128,1
1,140,146,152.25714285714287,5
0,186,146,114.60215053763442,5
0,178,107,64.32022471910112,4
1,174,54,16.75862068965517,1
0,180,59,19.33888888888889,1
1,188,141,105.75,4
0,187,130,90.37433155080214,4
0,153,77,38.751633986928105,4
0,165,95,54.696969696969695,4
0,178,79,35.061797752808985,2
0,163,154,145.49693251533742,5
0,150,97,62.72666666666667,5
1,179,127,90.10614525139665,4
1,165,62,23.296969696969697,2
1,168,158,148.5952380952381,5
0,153,133,115.61437908496733,5
1,184,157,133.96195652173913,5
1,188,65,22.47340425531915,1
0,166,153,141.01807228915663,5
0,172,116,78.23255813953489,4
1,182,73,29.28021978021978,2
1,143,149,155.25174825174824,5
1,152,146,140.23684210526315,5
0,186,128,88.08602150537635,4
1,159,140,123.27044025157232,5
1,146,70,33.56164383561644,4
0,176,121,83.1875,4
0,146,101,69.86986301369863,5
1,159,145,132.23270440251574,5
1,162,157,152.15432098765433,5
0,172,90,47.093023255813954,4
0,169,121,86.63313609467455,5
1,182,50,13.736263736263735,0
0,183,79,34.10382513661202,2
1,176,77,33.6875,2
0,188,128,87.14893617021276,4
0,175,83,39.36571428571428,2
1,154,81,42.603896103896105,4
0,184,147,117.44021739130434,5
1,179,123,84.5195530726257,4
1,152,132,114.63157894736842,5
1,179,56,17.519553072625698,1
0,145,141,137.1103448275862,5
0,181,80,35.35911602209945,2
1,158,127,102.08227848101266,5
0,188,99,52.13297872340426,3
1,145,142,139.06206896551726,5
1,161,115,82.14285714285714,5
1,198,109,60.005050505050505,3
1,147,142,137.17006802721087,5
1,154,112,81.45454545454545,5
0,178,65,23.735955056179776,2
1,195,153,120.04615384615384,5
0,167,79,37.37125748502994,3
1,183,131,93.77595628415301,4
0,164,142,122.95121951219512,5
1,167,64,24.526946107784433,2
0,151,55,20.033112582781456,2
0,147,107,77.8843537414966,5
0,155,115,85.3225806451613,5
0,172,108,67.81395348837209,4
0,142,86,52.08450704225352,5
1,146,85,49.486301369863014,4
0,188,115,70.34574468085107,4
1,173,111,71.21965317919076,4
0,160,109,74.25625,5
1,187,80,34.224598930481285,2
1,198,136,93.41414141414141,4
0,179,150,125.69832402234637,5
0,164,59,21.225609756097562,2
0,146,147,148.0068493150685,5
0,198,50,12.626262626262626,0
0,170,53,16.523529411764706,1
1,152,98,63.18421052631579,5
0,150,153,156.06,5
0,184,121,79.57065217391305,4
0,141,136,131.17730496453902,5
1,150,95,60.166666666666664,5
1,173,131,99.19653179190752,5
